USD Farm List  ·  DefiLlama API snapshot 6 Sep 2026  ·  639 pools,,,,,,,,,,,,,,,,,
Asset,Protocol,Chain,Type,Farm,Risk,Link,Base Asset,TVL ($),Now,7d,30d,Base,Reward,Intrinsic,Risk Note,LinkURL,Flags
USD,Convex Finance,Ethereum,LP,DUSD/frxUSD,Med-High,DefiLlama,frxUSD-DUSD,1857412,21.35618,21.69887,16.74491,0.04,21.31618,,"score 4.9; FRXUSD 6.2 (pharos 7.0, tid 5.5); DUSD 4.9 (pharos 4.9); worst leg: DUSD",https://defillama.com/yields/pool/c77b9508-1a53-4ea1-9913-0207ce711fa2,REWARD-HEAVY(emissions 21.3 of 21.4 unverified)
USD,Convex Finance,Ethereum,LP,pmUSD/crvUSD,High,DefiLlama,pmUSD-crvUSD,1348532,21.24207,19.95862,20.66542,0.01,21.23207,,"score 0.5; PMUSD 0.5 (pharos 0.5); CRVUSD 5.7 (pharos 7.2, tid 4.5); worst leg: PMUSD; -1 pool 95% in pmUSD",https://defillama.com/yields/pool/b395019b-ecc9-430d-be47-617f13fa3975,
USD,Uniswap V3,Avalanche,LP,0.05%,Med-High,DefiLlama,USDE-USDC,500434,21.16208,7.3248,2.14732,21.16208,,,"score 5.8; USDE 6.8 (pharos 7.2, tid 6.5); USDC 8.9 (credora 9.5, pharos 8.8, tid 8.5); worst leg: USDE; -1 tvl<1M",https://defillama.com/yields/pool/e639ecd9-c243-4233-9332-82327da75257,SPIKE(30d avg 2.1)
USD,Convex Finance,Ethereum,LP,pmUSD/frxUSD,High,DefiLlama,pmUSD-frxUSD,1372282,20.51828,19.72176,19.35768,0.06,20.45828,,"score 0.5; PMUSD 0.5 (pharos 0.5); FRXUSD 6.2 (pharos 7.0, tid 5.5); worst leg: PMUSD; -1 pool 95% in pmUSD",https://defillama.com/yields/pool/02ad75ab-b463-465f-a942-1c858ab4fd17,
USD,Curve DEX,Ethereum,LP,CADD-FRXUSD,Med-High,DefiLlama,CADD-FRXUSD,292541,20.23175,18.37603,18.27544,0,20.23175,,"score 5.2; CADD 6.3 (pharos 6.3); FRXUSD 6.2 (pharos 7.0, tid 5.5); worst leg: FRXUSD; -1 tvl<1M",https://defillama.com/yields/pool/ed8f9cf1-457b-5185-bc81-e16a7c637bf8,
USD,Yearn Finance,Ethereum,Lending,REUSDSDOLA,High,DefiLlama,REUSDSDOLA,954458,20.05167,13.41142,14.95582,20.05167,0,,unrated: internal signals only,https://defillama.com/yields/pool/98fcaeb8-6e0a-4552-8f42-41d801a48528,
USD,Convex Finance,Ethereum,LP,CRVUSD-CVCRVUSD,High,DefiLlama,CRVUSD-CVCRVUSD,404169,19.11419,16.45641,17.60993,0.05,19.06419,,"score 2.0; CRVUSD 5.7 (pharos 7.2, tid 4.5); CVCRVUSD unrated 3.0; worst leg: CVCRVUSD; -1 tvl<1M",https://defillama.com/yields/pool/184e49b8-644a-434c-9628-089b6213c273,
USD,Curve DEX,Ethereum,LP,USD3-SCRVUSD,High,DefiLlama,USD3-SCRVUSD,654348,18.84157,8.78069,10.82587,14.28,4.56157,,"score 2.0; USD3 5.0 (pharos 7.2, tid 3.5, yearn 4.4); CRVUSD 5.7 (pharos 7.2, tid 4.5); worst leg: USD3; -2 red flags; -1 tvl<1M",https://defillama.com/yields/pool/681faca0-5f8d-4341-9ba8-7ef8e73968a3,MISMATCH(curve total 4.62)
USD,Convex Finance,Ethereum,LP,FRXUSD-AVUSD,Med-High,DefiLlama,FRXUSD-AVUSD,282304,18.49923,15.54195,11.65027,0.02,18.47923,,"score 4.1; FRXUSD 6.2 (pharos 7.0, tid 5.5); AVUSD 5.1 (pharos 5.9, tid 4.5); worst leg: AVUSD; -1 tvl<1M",https://defillama.com/yields/pool/cc5ab66c-6759-4772-a360-34436b940460,
USD,Convex Finance,Ethereum,LP,REUSD-SDOLA,Med-High,DefiLlama,REUSD-SDOLA,405318,18.35351,13.9555,13.66124,2.03,16.32351,,"score 4.0; REUSD 5.1 (pharos 5.0, tid 6.0, yearn 4.0); SDOLA 5.0 (pharos 5.6, tid 4.5); worst leg: SDOLA; -1 tvl<1M",https://defillama.com/yields/pool/9cf047db-5b50-4546-b901-0f34fe5ef2f7,
USD,Beefy,Ethereum,LP,Stakedao,High,DefiLlama,PMUSD-CRVUSD,452352,18.08314,18.74023,16.38879,,,,"score 0.5; PMUSD 0.5 (pharos 0.5); CRVUSD 5.7 (pharos 7.2, tid 4.5); worst leg: PMUSD; -1 tvl<1M; -1 pool 95% in pmUSD",https://defillama.com/yields/pool/95a9a3c4-64bd-4847-bc6c-a9e711d10cf3,
USD,Uniswap V4,Ethereum,LP,0.30%,High,DefiLlama,USDC-REUSDE,285489,17.70819,22.83276,26.07052,17.70819,,,"score 2.5; USDC 8.9 (credora 9.5, pharos 8.8, tid 8.5); REUSDE 3.5 (tid 3.5); worst leg: REUSDE; -1 tvl<1M",https://defillama.com/yields/pool/4f14a69f-31a6-47ce-93db-0aed87f3249f,
USD,Beefy,Ethereum,LP,Pendle-10Dec26,High,DefiLlama,REUSDE,457450,17.66868,17.68633,17.53181,,,,score 2.5; REUSDE 3.5 (tid 3.5); -1 tvl<1M,https://defillama.com/yields/pool/60272668-6271-41e7-be2d-208508757679,
USD,Convex Finance,Ethereum,LP,frxUSD/msUSD,High,DefiLlama,frxUSD-msUSD,2773237,17.53592,16.37408,15.51714,2.76,14.77592,,"score 0.5; FRXUSD 6.2 (pharos 7.0, tid 5.5); MSUSD 0.5 (pharos 0.5); worst leg: MSUSD; -1 pool 94% in msUSD",https://defillama.com/yields/pool/ee024c35-c5c3-4a41-9018-75f72ec7ae4a,
USD,Beefy,Ethereum,LP,Convex,High,DefiLlama,FRXUSD-MSUSD,496546,17.50809,14.88992,14.56195,,,,"score 0.5; FRXUSD 6.2 (pharos 7.0, tid 5.5); MSUSD 0.5 (pharos 0.5); worst leg: MSUSD; -1 tvl<1M; -1 pool 94% in msUSD",https://defillama.com/yields/pool/b2c25704-1861-4ea0-83f4-afa055256914,
USD,Velodrome V2,OP Mainnet,LP,StableV2 AMM - USDC/sUSD,Med-High,DefiLlama,USDC-sUSD,3240960,16.91224,15.53955,13.32842,,16.91224,,"score 5.1; USDC 8.9 (credora 9.5, pharos 8.8, tid 8.5); SUSD 5.1 (pharos 5.1); worst leg: SUSD",https://defillama.com/yields/pool/9d4a4ef4-dfb1-4c89-8daf-66aa70ca8586,
USD,Uniswap V4,Ethereum,LP,0.05%,High,DefiLlama,APXUSD-USDC,499126,16.4621,42.97594,25.67419,16.4621,,,"score 1.3; APXUSD 2.3 (pharos 0.5, tid 3.0, yearn 3.6); USDC 8.9 (credora 9.5, pharos 8.8, tid 8.5); worst leg: APXUSD; -1 tvl<1M",https://defillama.com/yields/pool/02d27f9f-e63d-497f-bbd9-826261b0d976,
USD,Morpho Blue,Hyperliquid L1,Lending,FEUSDT02,High,DefiLlama,FEUSDT02,345471,16.23505,15.23326,7.48561,16.23505,0,,unrated: internal signals only,https://defillama.com/yields/pool/a8377123-ab6a-4df7-b873-8490a47e2881,
USD,Convex Finance,Ethereum,LP,reUSD/sfrxUSD,Med-High,DefiLlama,reUSD-sfrxUSD,1801782,16.13337,15.28234,13.70808,1.18,14.95337,,"score 4.6; REUSD 5.1 (pharos 5.0, tid 6.0, yearn 4.0); FRXUSD 6.2 (pharos 7.0, tid 5.5); worst leg: REUSD; -0.5 pool 76% in reUSD",https://defillama.com/yields/pool/0a84dcf2-f71a-4863-bd2e-1952a043eb0c,
USD,Convex Finance,Ethereum,LP,reUSD/scrvUSD,Med-High,DefiLlama,reUSD-scrvUSD,6859004,15.96347,15.39283,14.4285,0.52,15.44347,,"score 4.6; REUSD 5.1 (pharos 5.0, tid 6.0, yearn 4.0); CRVUSD 5.7 (pharos 7.2, tid 4.5); worst leg: REUSD; -0.5 pool 76% in reUSD",https://defillama.com/yields/pool/1971c939-46e4-4b86-87d9-78308de47af7,REWARD-HEAVY(emissions 15.4 of 16.0 unverified)
USD,Beefy,Ethereum,LP,Moo Curve reUSD-scrvUSD,High,DefiLlama,reUSD-scrvUSD,786847,15.88488,15.20312,14.34329,,,,"score 3.6; REUSD 5.1 (pharos 5.0, tid 6.0, yearn 4.0); CRVUSD 5.7 (pharos 7.2, tid 4.5); worst leg: REUSD; -1 tvl<1M; -0.5 pool 76% in reUSD",https://defillama.com/yields/pool/8fa62205-3835-4407-8b40-936b4125f2ad,
USD,fx Protocol,Ethereum,Lending,REUSD+FXUSD,High,DefiLlama,REUSD+FXUSD,1250392,15.87,17.41429,11.212,,,,unrated: internal signals only,https://defillama.com/yields/pool/923b502c-b379-421f-a322-58360e97ba64,
USD,Ember Protocol,Sui,Lending,Basis Vault,Med-High,DefiLlama,USDC,879126,15.68431,13.78399,11.88687,7.14552,8.53879,,"score 5.9; USDC 8.9 (credora 9.5, pharos 8.8, tid 8.5); -1 tvl<1M; capped 5.9: allocation not visible",https://defillama.com/yields/pool/0a3c5663-73bd-4d8a-bdcc-5e529a8b741d,
USD,Beefy,Ethereum,LP,Moo Curve frxUSD-msUSD,High,DefiLlama,frxUSD-msUSD,257662,15.35822,14.8443,12.20218,,,,"score 0.5; FRXUSD 6.2 (pharos 7.0, tid 5.5); MSUSD 0.5 (pharos 0.5); worst leg: MSUSD; -1 tvl<1M; -1 pool 94% in msUSD",https://defillama.com/yields/pool/11bd70a0-dd31-4997-8707-107a6c122864,
USD,Mento V3,Monad,LP,AUSD-USDM,Med-High,DefiLlama,AUSD-USDM,2081924,14.72475,15.16091,15.14692,0.1423,14.58245,,"score 4.6; AUSD 6.5 (pharos 7.0, tid 6.0); USDM 4.6 (pharos 4.1, tid 5.0); worst leg: USDM",https://defillama.com/yields/pool/ce74b9e0-376d-45ea-b1a4-362de60c12ce,
USD,Curve DEX,Ethereum,LP,REUSD-SDOLA,Med-High,DefiLlama,REUSD-SDOLA,3712717,14.68194,11.44412,10.5686,2.03,12.65194,,"score 5.0; REUSD 5.1 (pharos 5.0, tid 6.0, yearn 4.0); SDOLA 5.0 (pharos 5.6, tid 4.5); worst leg: SDOLA",https://defillama.com/yields/pool/c69a5fa3-0948-428e-9a01-34057a08fde4,
