Data Check  ·  25 Aug 2026  ·  history checks: all rows; cross-source: yieldz protocol data + on-chain reads,,,,,,,,,,,
Tab,Farm,Chain,Protocol,APY Now,7d,Verdict,Cross-Source APY,Source,Flags,Risk,Risk Basis
ETH Farms,Core,Ethereum,Aave V4,2.29,2.29,CAUTION,0,yieldz (base),SELF-REPORTED(flat 30d history),High (0.5),"score 0.5; RSETH 1.5 (credora 1.5); pool collateral leg 8.5 (tBTC 9.0@47%, rETH 8.3*@35%, FBTC 7.3*@5%, weETH 7.0@4%, cbETH 8.3*@4%, BTC.b 7.4@1%, wstETH 8.5*@1%, AAVE 8.0*@1%, syrupUSDT 5.5@0%); -2 self-reported"
ETH Farms,Spark wstETH,Ethereum,SparkLend,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,862.194,on-chain (7d realized),SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,USDC-pool,Ethereum,Compound V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,ETH-pool,Ethereum,Compound V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,USDT-pool,Ethereum,Compound V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH-A,Ethereum,Sky Lending,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Ethereum,Liquity V2,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Monad,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,Aave Gnosis wstETH,Gnosis,Aave V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH-B,Ethereum,Sky Lending,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,Core,Ethereum,Aave V4,2.285,2.285,CAUTION,2.305,yieldz (base+intrinsic),SELF-REPORTED(flat 30d history),Med-Low (6.4),"score 6.4; WSTETH 8.5*; pool collateral leg 8.4 (tBTC 9.0@46%, rETH 8.3*@34%, FBTC 7.3*@5%, weETH 7.0@4%, cbETH 8.3*@4%, XAUt 5.5@3%, LINK 8.0*@2%, BTC.b 7.4@1%, AAVE 8.0*@1%); pool collateral leg governs; -2 self-reported"
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,Prime,Ethereum,Aave V4,2.285,2.285,CAUTION,2.305,yieldz (base+intrinsic),SELF-REPORTED(flat 30d history),Med-Low (6.4),"score 6.4; WSTETH 8.5*; pool collateral leg 8.4 (tBTC 9.0@46%, rETH 8.3*@34%, FBTC 7.3*@5%, weETH 7.0@4%, cbETH 8.3*@4%, XAUt 5.5@3%, LINK 8.0*@2%, BTC.b 7.4@1%, AAVE 8.0*@1%); pool collateral leg governs; -2 self-reported"
ETH Farms,WSTETH,Arbitrum,Fluid Lending,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,wstETH,Ethereum,Dolomite,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Base,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,USDC-pool,Arbitrum,Compound V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,USDT-pool,Arbitrum,Compound V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Base,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,Aave Monad wstETH,Monad,Aave V3,2.285,2.285,CAUTION,2.305,yieldz (base+intrinsic),SELF-REPORTED(flat 30d history),Med-Low (6.4),"score 6.4; WSTETH 8.5*; pool collateral leg 8.4 (USDC 9.0@60%, USDT0 7.1@25%, GHO 7.0@8%, WETH 9.0*@7%, cbBTC 8.5*@1%); pool collateral leg governs; -2 self-reported"
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Base,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Arbitrum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,Aave BNB Smart Chain wstETH,BSC,Aave V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,USDT-pool,OP Mainnet,Compound V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Arbitrum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,WSTETH,Arbitrum,Fluid Lending,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,crvUSD borrow,Ethereum,Curve LlamaLend,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.5),score 6.5; WSTETH 8.5*; -2 self-reported
ETH Farms,USDC-pool,Base,Compound V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WETH-pool,Base,Compound V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WSTETH,Unichain,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WSTETH,Polygon,Fluid Lending,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WSTETH,Polygon,Fluid Lending,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WSTETH,Base,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,USDC-pool,OP Mainnet,Compound V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WSTETH,Base,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WSTETH,MegaETH,Aave V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WSTETH,Ethereum,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WETH-pool,Arbitrum,Compound V3,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WSTETH,Monad,Morpho Blue,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WSTETH,Arbitrum,Fluid Lending,2.285,2.285,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; WSTETH 8.5*; -2 self-reported; -1 tvl<1M
ETH Farms,alETH/wETH,Ethereum,Convex Finance,2.25377,2.22258,CAUTION,,,REWARD-HEAVY(emissions 2.2 of 2.3 unverified),High (2.0),score 2.0; WETH 9.0*; ALETH unrated 3.0; worst leg: ALETH; -1 pool 87% in alETH
ETH Farms,Aave Linea ezETH,Linea,Aave V3,2.17894,2.17894,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.5),score 5.5; EZETH 7.5*; -2 self-reported
ETH Farms,Prime Instance,Ethereum,Aave V3,2.17894,2.17894,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (4.5),score 4.5; EZETH 7.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WETH-pool,Arbitrum,Compound V3,2.17894,2.17894,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (4.5),score 4.5; EZETH 7.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WETH-pool,OP Mainnet,Compound V3,2.17894,2.17894,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (4.5),score 4.5; EZETH 7.5*; -2 self-reported; -1 tvl<1M
ETH Farms,USDC-pool,Arbitrum,Compound V3,2.17894,2.17894,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (4.5),score 4.5; EZETH 7.5*; -2 self-reported; -1 tvl<1M
ETH Farms,WETH-pool,Base,Compound V3,2.17894,2.17894,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (4.5),score 4.5; EZETH 7.5*; -2 self-reported; -1 tvl<1M
ETH Farms,Aave Optimism rETH,OP Mainnet,Aave V3,2.15671,2.15671,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.3),score 5.3; RETH 8.3*; -2 self-reported; -1 tvl<1M
ETH Farms,Aave Ethereum rETH,Ethereum,Aave V3,2.15662,2.15662,CAUTION,0,yieldz (base),SELF-REPORTED(flat 30d history),Med-Low (6.3),"score 6.3; RETH 8.3*; pool collateral leg 8.5 (tBTC 9.0@68%, FBTC 7.3*@7%, weETH 7.0@6%, cbETH 8.3*@6%, XAUt 5.5@4%, LINK 8.0*@2%, BTC.b 7.4@2%, wstETH 8.5*@1%, AAVE 8.0*@1%); -2 self-reported"
ETH Farms,RETH,Ethereum,Liquity V2,2.1566,2.1566,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.3),score 6.3; RETH 8.3*; -2 self-reported
ETH Farms,RETH,Ethereum,Morpho Blue,2.1566,2.1566,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.3),score 6.3; RETH 8.3*; -2 self-reported
ETH Farms,RETH,Ethereum,Morpho Blue,2.1566,2.1566,CAUTION,,,SELF-REPORTED(flat 30d history),Med-Low (6.3),score 6.3; RETH 8.3*; -2 self-reported
ETH Farms,RETH,Base,Morpho Blue,2.1566,2.1566,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.3),score 5.3; RETH 8.3*; -2 self-reported; -1 tvl<1M
ETH Farms,WETH-pool,OP Mainnet,Compound V3,2.1566,2.1566,CAUTION,,,SELF-REPORTED(flat 30d history),Med-High (5.3),score 5.3; RETH 8.3*; -2 self-reported; -1 tvl<1M
USD Farms,For LP | Maturity 14JAN2027,Monad,Pendle,47.04696,30.61298,UNVERIFIED,,,,High (3.5),score 3.5; SUSDAT 3.5 (tid 3.5)
USD Farms,FRXUSDDUSD,Ethereum,Yearn Finance,29.39638,27.06873,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,Concrete Decentralized Finance USDT,Ethereum,Concrete,24.31812,10.21832,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,0.03%,Ethereum,Uniswap V4,22.34422,17.60163,UNVERIFIED,,,,Med-Low (7.9),"score 7.9; EURC 8.3 (pharos 8.3); USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); worst leg: EURC; capped 7.9: not VERIFIED"
USD Farms,For LP | Maturity 14JAN2027,Monad,Pendle,20.87382,20.12272,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,Morini Stock Market TR Basis Trade · Junior,Ethereum,Royco V2,19.3028,18.85222,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,For buying PT-jrRoyAPYUSD-05NOV2026,Ethereum,Pendle,19.15414,19.15413,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,Gains Network USDC,Base,Gains Network,18.73825,13.7183,UNVERIFIED,,,,Med-Low (8.0),"score 8.0; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); -1 tvl<1M"
USD Farms,USDC-EURC,Solana,Orca DEX,18.71598,21.64903,UNVERIFIED,,,,Med-Low (7.3),"score 7.3; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); EURC 8.3 (pharos 8.3); worst leg: EURC; -1 tvl<1M"
USD Farms,Morini Stock Market TR Basis Trade · Senior,Ethereum,Royco V2,18.0667,17.57079,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,REUSDSFRX,Ethereum,Yearn Finance,17.30049,16.88395,UNVERIFIED,,,,High,unrated: internal signals only
ETH Farms,CRVCVXETH,Ethereum,Yearn Finance,17.05717,15.96435,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,Fraxlend Interest Bearing FRAX (Staked Frax Ether) - 16,Ethereum,Fraxlend,16.69291,15.12094,UNVERIFIED,,,,High (2.9),"score 2.9; FRAX 3.9 (pharos 5.6, tid 2.5); -1 tvl<1M"
USD Farms,0.04%,Ethereum,Uniswap V4,16.48326,8.91665,UNVERIFIED,,,,Med-Low (7.3),"score 7.3; EURC 8.3 (pharos 8.3); USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); worst leg: EURC; -1 tvl<1M"
USD Farms,Web 3 Dollar,Ethereum,Reserve Protocol,15.60267,15.48552,UNVERIFIED,,,,Med-High (5.0),"score 5.0; USD3 5.0 (pharos 7.2, tid 3.5, yearn 4.4)"
USD Farms,0.05%,Ethereum,Uniswap V3,15.47685,8.73869,UNVERIFIED,,,,High (3.0),"score 3.0; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); EUROC unrated 3.0; worst leg: EUROC"
USD Farms,mBASIS,Etherlink,Midas RWA,14.53,11.89143,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,SUSD3,Ethereum,3Jane Lending,14.43896,14.61011,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,AltCoinMarket,Sui,Current,14.24786,12.63308,UNVERIFIED,,,,Med-High (5.9),"score 5.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); -1 tvl<1M; capped 5.9: collateral not visible"
USD Farms,Umbrella,Ethereum,Aave V3,14.22226,6.45218,UNVERIFIED,,,,Med-Low (7.9),"score 7.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); capped 7.9: not VERIFIED"
USD Farms,SYZUSD-CSUSDC,Monad,Balancer V3,14.151,14.3264,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,SYNUSDX,Ethereum,Lagoon,13.83696,13.24973,UNVERIFIED,,,,Med-High (4.4),score 4.4; strategy book leg 5.9 (Lagoon - Syntrop~USDC 5.9†@99%); -1 tvl<1M; -0.5 concentrated book 99%
USD Farms,DUSD,Ethereum,Makina,13.81383,8.61679,UNVERIFIED,,,,Med-High (4.3),score 4.3; DUSD 4.3 (pharos 4.3)
USD Farms,REUSD+FXUSD,Ethereum,fx Protocol,13.69,11.04857,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,PLP Ethena sUSDE 22OCT2026,Monad,Pendle,13.57443,14.06819,UNVERIFIED,,,,Med-Low (6.0),"score 6.0; SUSDE 6.0 (pharos 5.5, tid 6.5)"
USD Farms,0.30%,Ethereum,Uniswap V4,13.48992,31.60476,UNVERIFIED,,,,High (2.5),"score 2.5; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); REUSDE 3.5 (tid 3.5); worst leg: REUSDE; -1 tvl<1M"
USD Farms,Basis Vault,Sui,Ember Protocol,12.93931,10.8931,UNVERIFIED,,,,Med-High (5.9),"score 5.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); -1 tvl<1M; capped 5.9: allocation not visible"
USD Farms,0.01%,Polygon,Uniswap V3,12.91382,22.47682,UNVERIFIED,,,,Med-Low (6.1),"score 6.1; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); USDT 7.1 (credora 8.4, pharos 6.0, tid 7.0); worst leg: USDT; -1 tvl<1M"
USD Farms,YNUSDX,Ethereum,YieldNest,12.88191,12.56152,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,USDT-USDC,BSC,PancakeSwap AMM,12.7058,14.6955,UNVERIFIED,,,,Med-Low (6.1),"score 6.1; USDT 7.1 (credora 8.4, pharos 6.0, tid 7.0); USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); worst leg: USDT; -1 tvl<1M"
USD Farms,Prime Yield,Ethereum,TermMax,12.56915,3.70826,UNVERIFIED,,,,Med-High (5.9),"score 5.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); -1 tvl<1M; capped 5.9: collateral not visible"
USD Farms,USDC,Ethereum,Aave V3,12.54226,4.88932,UNVERIFIED,,,,Med-Low (8.0),"score 8.0; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); -1 tvl<1M"
USD Farms,StabilityPool wstETH,Ethereum,fx Protocol,12.38,11.64286,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,EVK Vault eUSDC-4,Hyperliquid L1,Euler V2,12.2678,11.12563,UNVERIFIED,,,,Med-Low (8.0),"score 8.0; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); -1 tvl<1M"
USD Farms,Re Protocol reUSDe,Ethereum,Re,12.26091,12.25867,UNVERIFIED,,,,High (3.5),score 3.5; REUSDE 3.5 (tid 3.5)
USD Farms,Gains Network USDC,Arbitrum,Gains Network,11.85042,8.17055,UNVERIFIED,,,,Med-Low (7.9),"score 7.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); capped 7.9: not VERIFIED"
USD Farms,For LP | Maturity 26NOV2026,Hyperliquid L1,Pendle,11.83844,10.48887,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,1.00%,Ethereum,Uniswap V4,11.55495,19.27359,UNVERIFIED,,,,High (2.0),"score 2.0; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); RAIL unrated 3.0; worst leg: RAIL; -1 tvl<1M"
USD Farms,USD Vault,Sui,Ember Protocol,11.5159,9.63343,UNVERIFIED,,,,Med-High (5.9),"score 5.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); capped 7.9: not VERIFIED; capped 5.9: allocation not visible"
USD Farms,For buying PT-limUSD-26NOV2026,Hyperliquid L1,Pendle,11.36676,10.39505,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,Tori Staked trUSD · Junior,Ethereum,Royco V2,10.80293,10.91722,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,IdleCDO AA Tranche - BastionUSDC,Ethereum,Pareto Credit,10.58468,10.58468,UNVERIFIED,,,,Med-High (5.9),"score 5.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); capped 7.9: not VERIFIED; capped 5.9: allocation not visible"
USD Farms,OnRe Market,Solana,Kamino Lend,10.55667,7.12313,UNVERIFIED,,,,Med-Low (7.9),"score 7.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); capped 7.9: not VERIFIED"
USD Farms,0.01%,Polygon,Uniswap V3,10.48294,19.5632,UNVERIFIED,,,,Med-Low (7.1),"score 7.1; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); USDT 7.1 (credora 8.4, pharos 6.0, tid 7.0); worst leg: USDT"
USD Farms,0.01%,Polygon,Uniswap V3,10.34358,12.47184,UNVERIFIED,,,,Med-Low (6.1),"score 6.1; DAI 8.0 (pharos 8.0); USDT 7.1 (credora 8.4, pharos 6.0, tid 7.0); worst leg: USDT; -1 tvl<1M"
USD Farms,Ember Earn Vault,Sui,Ember Protocol,10.04066,10.09073,UNVERIFIED,,,,Med-High (5.9),"score 5.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); capped 7.9: not VERIFIED; capped 5.9: allocation not visible"
USD Farms,Clearstar Earn USDC,Monad,Euler V2,10.02249,9.99891,UNVERIFIED,,,,Med-Low (7.9),"score 7.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); capped 7.9: not VERIFIED"
USD Farms,FXUSDSTABILITYPOOLV2.0,Ethereum,fx Protocol,9.76,9.24,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,Staked Avant USD · Junior,Avalanche,Royco V2,9.73889,10.17423,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,Ember Basis,Sui,Ember Protocol,9.28751,8.1095,UNVERIFIED,,,,Med-High (5.9),"score 5.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); capped 7.9: not VERIFIED; capped 5.9: allocation not visible"
USD Farms,HIGHYIELDTERMAUSD,Ethereum,Steakhouse Financial,9.27427,10.17657,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,mRe7YIELD,Ethereum,Midas RWA,9.23,9.23,UNVERIFIED,,,,Med-High (4.6),score 4.6; MRE7YIELD 4.6 (pharos 4.6)
USD Farms,mRE7,Etherlink,Midas RWA,9.23,9.23,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,mRE7,TAC,Midas RWA,9.23,9.23,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,GTUSDT0,Hyperliquid L1,Morpho Blue,9.20876,7.77671,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,Felix USDT0,Hyperliquid L1,Morpho Blue,9.16746,7.71295,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,Neverland Interest Bearing AUSD,Monad,Neverland,9.06271,8.91374,UNVERIFIED,,,,Med-High (5.1),"score 5.1; AUSD 6.1 (pharos 6.3, tid 6.0); -1 tvl<1M"
USD Farms,For LP | Maturity 26NOV2026,Ethereum,Pendle,8.98799,9.47396,UNVERIFIED,,,,Med-Low (6.0),"score 6.0; SUSDE 6.0 (pharos 5.5, tid 6.5)"
USD Farms,Moo AaveV3 Monad USDC,Monad,Beefy,8.78073,8.08271,UNVERIFIED,,,,Med-Low (7.9),"score 7.9; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); capped 7.9: not VERIFIED"
USD Farms,Aerodrome,Base,Beefy,8.76401,7.92486,UNVERIFIED,,,,High (3.4),"score 3.4; USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); EUSD 4.4 (pharos 4.4); worst leg: EUSD; -1 tvl<1M"
USD Farms,For LP | Maturity 05NOV2026,Ethereum,Pendle,8.66111,8.7026,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,Staked Avant USD · Senior,Avalanche,Royco V2,8.35914,8.71,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,mMEV,Etherlink,Midas RWA,8.35,8.08429,UNVERIFIED,,,,High (3.7),score 3.7; MMEV 4.7 (pharos 4.7); -1 tvl<1M
USD Farms,PLP Savings USDS 26NOV2026,Ethereum,Pendle,8.30233,8.48544,UNVERIFIED,,,,Med-Low (7.6),"score 7.6; SUSDS 7.6 (pharos 7.8, tid 7.5)"
USD Farms,REUSDSDOLA,Ethereum,Yearn Finance,8.20522,12.00435,UNVERIFIED,,,,High,unrated: internal signals only
USD Farms,Aave,Monad,Beefy,8.17797,7.95068,UNVERIFIED,,,,Med-High (5.1),"score 5.1; AUSD 6.1 (pharos 6.3, tid 6.0); -1 tvl<1M"
USD Farms,YVUSD,Ethereum,Yearn Finance,8.15561,8.61574,UNVERIFIED,,,,Med-Low (7.9),score 7.9; YVUSD 8.0 (yearn 8.0); capped 7.9: not VERIFIED
USD Farms,EURE-AAVEUSDC,Arbitrum,Balancer V3,8.1456,12.3541,UNVERIFIED,,,,High (2.0),score 2.0; EURE 5.5 (pharos 5.5); AAVEUSDC unrated 3.0; worst leg: AAVEUSDC; -1 tvl<1M
USD Farms,0.01%,Ethereum,Uniswap V3,8.06966,5.77348,UNVERIFIED,,,,Med-Low (7.9),"score 7.9; RLUSD 8.1 (credora 9.5, pharos 7.9, tid 7.0); USDC 9.0 (credora 9.5, pharos 9.0, tid 8.5); worst leg: RLUSD; capped 7.9: not VERIFIED"
